raceId,driverId,year,qualifying_position,positionOrder,championship_position,podium_finish,starting_grid_diff
1031,822,2020,1,1,1,1,0
1031,844,2020,7,2,2,1,5
1031,846,2020,4,3,3,1,1
1031,1,2020,2,4,4,0,-2
1031,832,2020,8,5,5,0,3
1031,815,2020,6,6,6,0,0
1031,842,2020,12,7,7,0,5
1031,839,2020,14,8,8,0,6
1031,841,2020,18,9,9,0,9
1031,20,2020,11,10,10,0,1
1031,849,2020,20,11,11,0,9
1031,826,2020,13,12,12,0,1
1031,848,2020,5,13,13,0,-8
1031,8,2020,19,14,14,0,5
1031,847,2020,17,15,15,0,2
1031,154,2020,15,16,16,0,-1
1031,825,2020,16,17,17,0,-1
1031,840,2020,9,18,18,0,-9
1031,817,2020,10,19,19,0,-9
1031,830,2020,3,20,20,0,-17
1032,1,2020,1,1,2,1,0
1032,822,2020,4,2,1,1,2
1032,830,2020,2,3,6,1,-1
1032,848,2020,7,4,8,0,3
1032,846,2020,6,5,3,0,1
1032,815,2020,17,6,5,0,11
1032,840,2020,13,7,10,0,6
1032,817,2020,9,8,12,0,1
1032,832,2020,3,9,7,0,-6
1032,826,2020,14,10,14,0,4
1032,8,2020,16,11,17,0,5
1032,825,2020,15,12,18,0,3
1032,154,2020,20,13,19,0,7
1032,841,2020,19,14,13,0,5
1032,842,2020,8,15,9,0,-7
1032,847,2020,12,16,20,0,-4
1032,849,2020,18,17,16,0,1
1032,839,2020,5,18,11,0,-13
1032,844,2020,11,19,4,0,-8
1032,20,2020,10,20,15,0,-10
1033,1,2020,1,1,1,1,0
1033,830,2020,7,2,3,1,5
1033,822,2020,2,3,2,1,-1
1033,840,2020,3,4,8,0,-1
1033,848,2020,13,5,5,0,8
1033,20,2020,5,6,10,0,-1
1033,815,2020,4,7,6,0,-3
1033,817,2020,11,8,11,0,3
1033,832,2020,9,9,9,0,0
1033,825,2020,16,10,16,0,6
1033,844,2020,6,11,7,0,-5
1033,826,2020,17,12,15,0,5
1033,846,2020,8,13,4,0,-5
1033,839,2020,14,14,13,0,0
1033,8,2020,20,15,17,0,5
1033,154,2020,18,16,19,0,2
1033,841,2020,19,17,14,0,2
1033,847,2020,12,18,20,0,-6
1033,849,2020,15,19,18,0,-4
1033,842,2020,10,20,12,0,-10
1034,1,2020,1,1,1,1,0
1034,830,2020,3,2,3,1,1
1034,844,2020,4,3,5,1,1
1034,817,2020,8,4,9,0,4
